241,78,76,83,89,58,51,47,83,106,119,91,2147483647,
150,33,11,42,63,63,25,64,65,89,98,74,2147483647,
108,46,18,46,56,33,34,56,57,83,82,63,2147483647,
127,103,53,56,28,42,39,66,91,70,61,66,2147483647,
120,70,60,66,58,35,83,77,105,83,70,79,2147483647,
111,26,44,83,58,58,91,64,70,94,92,54,2147483647,
90,35,42,30,51,69,55,50,57,71,58,50,2147483647,
126,37,20,84,53,46,109,44,38,83,71,78,2147483647,
111,48,43,88,71,91,84,55,47,73,80,83,2147483647,
154,48,21,70,75,60,88,74,47,64,83,66,2147483647,
144,106,48,57,47,57,79,59,75,62,92,63,2147483647,
137,96,60,99,92,88,43,37,70,80,50,52,2147483647,
147,55,62,79,97,76,44,56,47,68,99,92,2147483647,
133,56,22,65,94,78,62,45,41,77,87,90,2147483647,
149,72,43,22,60,86,87,59,50,46,64,71,2147483647,
95,73,14,47,55,44,101,93,73,85,56,39,2147483647,
215,129,69,77,49,84,45,41,47,44,43,58,2147483647,
135,79,39,50,60,61,82,54,74,49,61,38,2147483647,
118,70,35,0,85,86,59,88,96,88,64,43,2147483647,
177,71,35,1,42,74,74,66,64,49,64,67,2147483647,
127,86,59,32,84,80,74,77,66,52,75,67,2147483647,
106,39,40,29,59,63,90,79,70,56,79,93,2147483647,
235,96,84,97,83,45,45,54,71,70,72,63,2147483647,
164,76,40,45,47,87,96,104,72,40,25,35,2147483647,
156,70,9,41,83,86,61,79,49,58,58,72,2147483647,
156,63,6,26,58,95,80,81,71,55,35,72,2147483647,
175,69,37,64,60,52,73,41,73,91,65,51,2147483647,
163,70,53,61,50,69,49,78,80,90,64,34,2147483647,
208,95,48,67,94,52,18,79,41,52,58,64,2147483647,
155,50,34,25,61,118,109,89,72,87,61,59,2147483647,
161,50,11,17,34,81,72,86,86,66,70,74,2147483647,
186,67,33,74,52,64,52,71,58,35,57,62,2147483647,
158,80,12,19,94,79,59,66,79,81,88,64,2147483647,
206,103,50,69,93,78,67,52,60,72,67,72,2147483647,
193,90,50,37,44,71,85,84,74,73,84,45,2147483647,
184,77,22,76,51,62,54,74,51,65,105,51,2147483647,
185,100,25,51,54,63,72,82,63,87,54,33,2147483647,
186,80,23,28,64,89,70,57,54,70,81,55,2147483647,
210,87,39,21,51,50,46,61,43,82,88,82,2147483647,
186,62,34,38,24,6,69,96,72,96,104,58,2147483647,
161,78,39,46,13,37,81,81,83,88,62,60,2147483647,
175,55,36,32,15,46,103,108,83,98,80,52,2147483647,
190,50,35,26,13,42,80,85,77,78,50,53,2147483647,
209,91,33,36,42,51,49,61,57,82,74,57,2147483647,
223,85,45,27,50,78,64,43,69,81,60,37,2147483647,
223,89,60,73,59,66,82,84,89,102,73,45,2147483647,
214,76,48,74,80,59,82,59,71,98,82,67,2147483647,
240,82,71,61,69,60,68,108,94,73,60,62,2147483647,
175,63,37,70,55,71,111,121,110,101,75,66,2147483647,
213,77,45,21,60,99,91,81,88,102,97,65,2147483647,
232,81,74,54,70,57,50,98,115,81,72,70,2147483647,
256,101,77,58,67,91,81,77,80,62,87,69,2147483647,
218,93,72,105,103,85,104,86,95,94,93,93,2147483647,
220,97,37,61,71,90,96,102,118,121,121,75,2147483647,
217,106,74,116,98,95,102,89,101,91,92,88,2147483647,
221,108,50,74,130,66,95,95,86,78,91,79,2147483647,
239,56,70,72,109,62,104,82,96,92,93,82,2147483647,
239,56,70,72,109,62,104,82,96,92,93,82,2147483647,
